kecamatan,kabupaten,provinsi,kategori_v2,kecepatan_final,tingkat_kepercayaan,indeks_kesenjangan_final
Segun,Sorong,Papua Barat,Cukup,1239.142857142857,0.7475636523154152,0.7402939874949713
Liukang Kalukalukuang Mas,Pangkajene Dan Kepulauan,Sulawesi Selatan,Cukup,1622.2727272727273,0.7475636523154152,0.7368602819349483
Bokondini,Tolikara,Papua,Cukup,1865.2533333333333,0.7475636523154152,0.7346826290734649
Babar Timur,Maluku Barat Daya,Maluku,Cukup,1893.8987096774194,0.7475636523154152,0.7344259020581887
Liukang Tangaya,Pangkajene Dan Kepulauan,Sulawesi Selatan,Cukup,1916.030303030303,0.7475636523154152,0.7342275531925099
Kokoda,Sorong Selatan,Papua Barat,Cukup,1955.5833333333335,0.7475636523154152,0.733873069058915
Haju,Mappi,Papua,Cukup,1976.2666666666664,0.7475636523154152,0.7336876998611482
Kimaam,Merauke,Papua,Cukup,2006.2,0.7475636523154152,0.7334194298537435
Tanimbar Utara,Maluku Tenggara Barat,Maluku,Cukup,2085.347222222222,0.7475636523154152,0.7327100926858722
Citakmitak,Mappi,Papua,Cukup,2133.4761904761904,0.7475636523154152,0.7322787488550303
Krayan,Nunukan,Kalimantan Utara,Cukup,2232.9542857142856,0.7475636523154152,0.7313872013267633
Waropko,Boven Digoel,Papua,Cukup,2253.09375,0.7475636523154152,0.7312067064192002
Long Apari,Kutai Barat,Kalimantan Timur,Cukup,2339.151515151515,0.7475636523154152,0.730435435240099
Mdona Hiera,Maluku Barat Daya,Maluku,Cukup,2427.156862745098,0.7475636523154152,0.7296467093408592
Orong Telu,Sumbawa,Nusa Tenggara Barat,Cukup,2459.027777777778,0.7475636523154152,0.7293610742424691
Edera,Mappi,Papua,Cukup,2698.345238095238,0.7475636523154152,0.7272162514077888
Wakate,Seram Bagian Timur,Maluku,Cukup,2906.2619047619046,0.7475636523154152,0.7253528503262893
Tiom,Lanny Jaya,Papua,Cukup,3018.007341269841,0.7475636523154152,0.7243513598225224
Saifi,Sorong Selatan,Papua Barat,Cukup,3080.388888888889,0.7475636523154152,0.7237922808166758
Pp. Terselatan,Maluku Barat Daya,Maluku,Cukup,3117.5793209876542,0.7475636523154152,0.7234589708781061
Akat,Asmat,Papua,Cukup,3206.75,0.7475636523154152,0.7226598009877191
Yaru,Maluku Tenggara Barat,Maluku,Cukup,3246.2916666666665,0.7475636523154152,0.7223054186978707
Firiwage,Boven Digoel,Papua,Cukup,3268.555555555555,0.7475636523154152,0.7221058841665652
Batulanteh,Sumbawa,Nusa Tenggara Barat,Cukup,3294.922916666667,0.7475636523154152,0.7218695732926057
Kepala Madan,Buru Selatan,Maluku,Cukup,3317.663888888889,0.7475636523154152,0.7216657630213437
Pp. Babar,Maluku Barat Daya,Maluku,Cukup,3367.7944444444443,0.7475636523154152,0.7212164804653274
Ninati,Boven Digoel,Papua,Cukup,3375.6666666666665,0.7475636523154152,0.7211459276441521
Aru Selatan,Kepulauan Aru,Maluku,Cukup,3397.763970588235,0.7475636523154152,0.7209478860889184
Bolakme,Jayawijaya,Papua,Cukup,3424.563333333333,0.7475636523154152,0.7207077035084484
Yaniruma,Boven Digoel,Papua,Cukup,3442.152777777778,0.7475636523154152,0.7205500625154188
Ngguti,Merauke,Papua,Cukup,3444.5,0.7475636523154152,0.7205290261237839
Jita,Mimika,Papua,Cukup,3681.0,0.7475636523154152,0.718409454071962
Karubaga,Tolikara,Papua,Cukup,3682.386111111111,0.7475636523154152,0.7183970313980853
Susua,Nias Selatan,Sumatera Utara,Cukup,4085.75,0.7475636523154152,0.7147819835097001
Kaureh,Jayapura,Papua,Cukup,4246.62962962963,0.7475636523154152,0.7133401400988315
Sula Besi Barat,Kepulauan Sula,Maluku Utara,Cukup,4411.175,0.7475636523154152,0.7118654434041435
Bokoneri,Tolikara,Papua,Cukup,4507.5,0.7475636523154152,0.7110021547026985
Pasilambena,Kepulauan Selayar,Sulawesi Selatan,Cukup,4591.668253968254,0.7475636523154152,0.7102478177946149
Batangkawa,Lamandau,Kalimantan Tengah,Cukup,4597.8,0.7475636523154152,0.7101928635556392
Seruyan Hulu,Seruyan,Kalimantan Tengah,Cukup,4680.9826530612245,0.7475636523154152,0.7094473598489797
Mangoli Utara Timur,Kepulauan Sula,Maluku Utara,Cukup,4692.823333333333,0.7475636523154152,0.7093412407158747
Bomberay,Fakfak,Papua Barat,Cukup,4724.498138528138,0.7475636523154152,0.7090573632028184
Wapoga,Waropen,Papua,Cukup,4854.954545454546,0.7475636523154152,0.7078881803102082
Malinau Selatan,Malinau,Kalimantan Utara,Cukup,4974.511904761905,0.7475636523154152,0.7068166774037494
Sugapa,Intan Jaya,Papua,Cukup,5017.969999999999,0.7475636523154152,0.7064271951031486
Morotai Jaya,Pulau Morotai,Maluku Utara,Cukup,5212.752314814815,0.7475636523154152,0.7046815073624694
Damau,Kepulauan Talaud,Sulawesi Utara,Cukup,5236.6625,0.7475636523154152,0.7044672183126918
Sawa Erma,Asmat,Papua,Cukup,5393.2555555555555,0.7475636523154152,0.7030637922489921
Tanah Pinoh Barat,Melawi,Kalimantan Barat,Cukup,5509.926890756303,0.7475636523154152,0.7020181546111898
Tambelan,Bintan,Kepulauan Riau,Cukup,5580.997619047619,0.7475636523154152,0.7013812009985517
