GID_3,populasi
IDN.1.2.1_1,4855
IDN.1.2.2_1,4696
IDN.1.2.3_1,45235
IDN.1.2.4_1,11245
IDN.1.2.5_1,21090
IDN.1.2.6_1,6882
IDN.1.2.7_1,2416
IDN.1.2.8_1,8845
IDN.1.2.9_1,2661
IDN.1.2.12_1,10283
IDN.1.2.10_1,1719
IDN.1.2.11_1,2275
IDN.1.1.1_1,11031
IDN.1.1.2_1,16868
IDN.1.1.3_1,5108
IDN.1.1.4_1,11758
IDN.1.1.5_1,12650
IDN.1.1.6_1,17477
IDN.1.1.7_1,5134
IDN.1.1.8_1,21987
IDN.1.1.9_1,5691
IDN.1.3.1_1,17401
IDN.1.3.2_1,20099
IDN.1.3.3_1,33595
IDN.1.3.4_1,9780
IDN.1.3.5_1,33477
IDN.1.3.6_1,33236
IDN.1.3.7_1,39759
IDN.1.3.8_1,11208
IDN.1.3.9_1,10484
IDN.1.3.10_1,29964
IDN.1.3.11_1,19999
IDN.1.3.12_1,8254
IDN.1.3.13_1,8421
IDN.1.3.14_1,5794
IDN.1.3.15_1,22888
IDN.1.3.16_1,13818
IDN.1.3.17_1,79878
IDN.1.3.18_1,21752
IDN.1.3.19_1,18346
IDN.1.3.20_1,5896
IDN.1.3.21_1,73519
IDN.1.3.22_1,7972
IDN.1.3.23_1,14568
IDN.1.4.1_1,23165
IDN.1.4.2_1,14459
IDN.1.4.3_1,3556
IDN.1.4.4_1,9698
IDN.1.4.5_1,5675
IDN.1.4.6_1,11123
IDN.1.5.2_1,8663
IDN.1.5.1_1,3294
IDN.1.5.3_1,17924
IDN.1.5.4_1,12401
IDN.1.5.5_1,11263
IDN.1.5.6_1,34554
IDN.1.5.9_1,7243
IDN.1.5.7_1,5738
IDN.1.5.8_1,4562
IDN.1.5.10_1,17588
IDN.1.5.11_1,18577
IDN.1.5.12_1,16206
IDN.1.5.13_1,15107
IDN.1.5.14_1,24242
IDN.1.5.16_1,11274
IDN.1.5.15_1,11326
IDN.1.6.1_1,3720
IDN.1.6.2_1,52566
IDN.1.6.3_1,7357
IDN.1.6.4_1,1317
IDN.1.6.5_1,2200
IDN.1.6.6_1,7808
IDN.1.6.8_1,37211
IDN.1.6.7_1,27097
IDN.1.6.9_1,4818
IDN.1.6.10_1,3511
IDN.1.7.1_1,8468
IDN.1.7.2_1,6000
IDN.1.7.3_1,18255
IDN.1.7.4_1,57071
IDN.1.7.5_1,24818
IDN.1.7.6_1,8332
IDN.1.7.7_1,18991
IDN.1.7.8_1,45380
IDN.1.7.9_1,3803
IDN.1.7.10_1,24166
IDN.1.7.11_1,12085
IDN.1.7.12_1,5370
IDN.1.8.1_1,5689
IDN.1.8.2_1,31048
IDN.1.8.3_1,6724
IDN.1.8.4_1,25949
IDN.1.8.5_1,7049
IDN.1.8.6_1,93
IDN.1.8.7_1,11022
IDN.1.8.8_1,10943
IDN.1.8.9_1,9138
IDN.1.8.10_1,1441
IDN.1.8.11_1,19504
IDN.1.8.12_1,23788
IDN.1.8.13_1,16168
IDN.1.8.14_1,3545
IDN.1.8.15_1,30586
IDN.1.9.1_1,19303
IDN.1.9.2_1,10339
IDN.1.9.3_1,43185
IDN.1.9.4_1,19761
IDN.1.9.5_1,16977
IDN.1.9.6_1,9373
IDN.1.9.7_1,9444
IDN.1.9.8_1,6353
IDN.1.9.9_1,7198
IDN.1.9.10_1,1580
IDN.1.9.11_1,12844
IDN.1.9.12_1,27889
IDN.1.9.13_1,21014
IDN.1.9.14_1,7388
IDN.1.9.15_1,8542
IDN.1.9.16_1,2219
IDN.1.10.1_1,2566
IDN.1.10.2_1,19480
IDN.1.10.3_1,10165
IDN.1.10.4_1,752
IDN.1.10.5_1,4202
IDN.1.10.6_1,42871
IDN.1.10.7_1,8198
IDN.1.10.8_1,6765
IDN.1.10.9_1,8006
IDN.1.10.10_1,16431
IDN.1.10.11_1,15625
IDN.1.10.12_1,6609
IDN.1.10.13_1,24914
IDN.1.10.14_1,8201
IDN.1.10.15_1,3472
IDN.1.10.18_1,37340
IDN.1.10.16_1,10904
IDN.1.10.17_1,8384
IDN.1.10.19_1,19276
IDN.1.10.20_1,10859
IDN.1.10.21_1,8841
IDN.1.10.22_1,2753
IDN.1.10.23_1,34862
IDN.1.10.24_1,6206
IDN.1.11.2_1,33979
IDN.1.11.1_1,16598
IDN.1.11.3_1,6389
IDN.1.11.4_1,8312
IDN.1.11.5_1,53414
IDN.1.11.6_1,875
IDN.1.11.7_1,5634
IDN.1.11.8_1,16606
IDN.1.11.9_1,7118
IDN.1.11.10_1,46325
IDN.1.11.11_1,39032
IDN.1.11.12_1,13526
IDN.1.11.13_1,49969
IDN.1.11.14_1,23241
IDN.1.11.16_1,7158
IDN.1.11.15_1,4233
IDN.1.11.17_1,13763
IDN.1.11.18_1,1638
IDN.1.11.19_1,42523
IDN.1.11.20_1,21553
IDN.1.11.21_1,19421
IDN.1.11.22_1,2689
IDN.1.11.23_1,41595
IDN.1.11.24_1,28091
IDN.1.11.25_1,30311
IDN.1.11.26_1,50096
IDN.1.11.27_1,8200
IDN.1.12.1_1,15430
IDN.1.12.2_1,15527
IDN.1.12.3_1,14146
IDN.1.12.4_1,18606
IDN.1.12.5_1,5530
IDN.1.12.6_1,13016
IDN.1.12.7_1,12481
IDN.1.12.8_1,16469
IDN.1.12.9_1,13750
IDN.1.13.1_1,27138
IDN.1.13.2_1,55145
IDN.1.13.3_1,11918
IDN.1.13.4_1,3681
IDN.1.13.5_1,6541
IDN.1.13.6_1,12264
IDN.1.13.7_1,20011
IDN.1.14.1_1,30117
IDN.1.14.2_1,9479
IDN.1.14.3_1,28486
IDN.1.14.4_1,38417
IDN.1.14.5_1,36820
IDN.1.14.6_1,46759
IDN.1.14.7_1,16002
IDN.1.14.8_1,29416
IDN.1.14.9_1,5746
IDN.1.14.10_1,18638
IDN.1.14.11_1,24865
IDN.1.14.12_1,32263
IDN.1.14.15_1,37736
IDN.1.14.13_1,5169
IDN.1.14.14_1,4858
IDN.1.14.16_1,33348
IDN.1.14.17_1,41952
IDN.1.15.1_1,6735
IDN.1.15.2_1,2822
IDN.1.15.3_1,29388
IDN.1.15.4_1,12654
IDN.1.15.5_1,17844
IDN.1.15.6_1,4288
IDN.1.15.7_1,4094
IDN.1.15.8_1,1432
IDN.1.15.9_1,12066
IDN.1.15.10_1,4235
IDN.1.15.11_1,3479
IDN.1.16.1_1,39033
IDN.1.16.2_1,67288
IDN.1.16.3_1,31374
IDN.1.16.4_1,37717
IDN.1.16.5_1,16025
IDN.1.17.1_1,30883
IDN.1.17.2_1,33424
IDN.1.17.3_1,33059
IDN.1.17.4_1,43818
IDN.1.18.1_1,15502
IDN.1.18.2_1,36152
IDN.1.18.4_1,22592
IDN.1.18.3_1,17528
IDN.1.18.6_1,27145
IDN.1.18.5_1,17988
IDN.1.18.7_1,22034
IDN.1.18.8_1,4053
IDN.1.20.1_1,12881
IDN.1.20.2_1,11837
IDN.1.20.3_1,5588
IDN.1.20.4_1,6744
IDN.1.20.5_1,18012
IDN.1.20.6_1,7026
IDN.1.20.7_1,19980
IDN.1.20.8_1,17279
IDN.1.20.9_1,15258
IDN.1.20.10_1,10229
IDN.1.20.11_1,2598
IDN.1.20.12_1,6820
IDN.1.20.13_1,38371
IDN.1.20.15_1,16373
IDN.1.20.14_1,25551
IDN.1.20.16_1,22273
IDN.1.20.17_1,21047
IDN.1.20.18_1,37964
IDN.1.20.19_1,30482
IDN.1.20.20_1,22394
IDN.1.20.21_1,16123
IDN.1.20.22_1,12680
IDN.1.20.23_1,6034
IDN.1.19.1_1,25047
IDN.1.19.2_1,38725
IDN.1.19.3_1,11520
IDN.1.19.4_1,11267
IDN.1.19.5_1,24001
IDN.1.19.6_1,8578
IDN.1.19.7_1,21678
IDN.1.19.8_1,13321
IDN.1.21.1_1,27545
IDN.1.21.2_1,11903
IDN.1.22.1_1,6373
IDN.1.22.2_1,10195
IDN.1.22.3_1,13313
IDN.1.22.4_1,16435
IDN.1.22.5_1,42929
IDN.1.22.6_1,5425
IDN.1.22.7_1,10288
IDN.1.22.8_1,7420
IDN.1.23.1_1,1703
IDN.1.23.2_1,11738
IDN.1.23.3_1,15629
IDN.1.23.4_1,43140
IDN.1.23.5_1,12665
IDN.2.1.1_1,140476
IDN.2.1.4_1,135087
IDN.2.1.2_1,240768
IDN.2.1.3_1,157686
IDN.2.1.5_1,196023
IDN.2.1.6_1,18088
IDN.2.2.1_1,30054
IDN.2.2.2_1,169525
IDN.2.2.3_1,32679
IDN.2.2.4_1,8074
IDN.2.3.1_1,36745
IDN.2.3.2_1,193158
IDN.2.3.3_1,33762
IDN.2.3.4_1,91527
IDN.2.3.5_1,53470
IDN.2.3.6_1,78713
IDN.2.3.7_1,62714
IDN.2.3.8_1,84670
IDN.2.3.9_1,50486
IDN.2.4.1_1,266070
IDN.2.4.2_1,370904
IDN.2.4.3_1,233910
IDN.2.4.4_1,239403
IDN.2.5.1_1,85252
IDN.2.5.2_1,104604
IDN.2.5.3_1,25449
IDN.2.5.4_1,154728
IDN.2.5.5_1,44026
IDN.2.5.6_1,45642
IDN.2.5.7_1,114689
IDN.2.6.1_1,58438
IDN.2.6.2_1,71401
IDN.2.6.3_1,3364
IDN.2.6.4_1,40580
IDN.2.6.5_1,87983
IDN.2.6.6_1,30039
IDN.2.7.1_1,58378
IDN.2.7.2_1,15333
IDN.2.7.3_1,76027
IDN.2.7.4_1,232635
IDN.2.7.5_1,16259
IDN.2.7.6_1,14472
IDN.2.7.7_1,11817
IDN.2.7.8_1,10465
IDN.2.8.1_1,22017
IDN.2.8.2_1,3868
IDN.2.8.3_1,15117
IDN.2.8.4_1,34614
IDN.2.8.5_1,115276
IDN.2.9.1_1,72721
IDN.2.9.2_1,106573
IDN.2.9.3_1,43695
IDN.2.9.4_1,55325
IDN.2.9.5_1,41602
IDN.2.9.6_1,18498
IDN.2.9.9_1,21109
IDN.2.9.7_1,11982
IDN.2.9.8_1,21884
IDN.2.9.10_1,79399
IDN.3.4.1_1,30000
IDN.3.4.2_1,48528
IDN.3.4.3_1,37558
IDN.3.4.4_1,35361
IDN.3.4.5_1,17429
IDN.3.4.6_1,28649
IDN.3.4.7_1,35940
IDN.3.4.8_1,95471
IDN.3.1.1_1,27231
IDN.3.1.2_1,79158
IDN.3.1.3_1,21652
IDN.3.1.4_1,23418
IDN.3.1.5_1,57298
IDN.3.2.1_1,46171
