provinsi,jumlah_kecamatan,kecamatan_bermasalah,populasi_terdampak
Papua,385,180,1882616
Papua Barat,156,42,174270
Nusa Tenggara Timur,287,13,71710
Kalimantan Utara,38,6,66559
Sulawesi Selatan,307,7,50015
Maluku Utara,114,9,37663
Kalimantan Tengah,125,4,29008
Sumatera Utara,419,6,22543
Lampung,214,3,16544
Sulawesi Barat,69,2,16299
Sulawesi Tengah,155,2,12709
Bengkulu,124,2,4571
Sulawesi Utara,159,3,4276
Aceh,277,2,2846
Kalimantan Selatan,151,1,2333
Jambi,130,1,2281
Sulawesi Tenggara,201,2,1742
Jawa Tengah,578,1,1225
Jawa Timur,663,1,731
Bali,59,0,0
Kalimantan Barat,175,0,0
Bangka Belitung,43,0,0
Gorontalo,67,0,0
Banten,154,0,0
Jakarta Raya,47,0,0
Jawa Barat,628,0,0
Kepulauan Riau,59,0,0
Kalimantan Timur,98,0,0
Maluku,73,1,0
Nusa Tenggara Barat,116,0,0
Riau,151,0,0
Sumatera Barat,178,0,0
Sumatera Selatan,217,0,0
Yogyakarta,78,0,0
