kecamatan,kabupaten,provinsi,kecepatan_final,kategori_v2,indeks_kesenjangan_final,populasi_worldpop,alasan_urgensi,GID_3,kota_terdekat,jarak_kota_km,rata_rata_provinsi,persen_dibawah_provinsi,kecepatan_min,kecepatan_max,alasan_model,tetangga_baik_nama,tetangga_baik_kecepatan,tetangga_baik_jarak_km
Segun,Sorong,Papua Barat,1239.142857142857,Cukup,0.7402939874949713,4924.28271484375,Akses jalan sangat minim (lebih sedikit dari 95% kecamatan lain) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 93% kecamatan lain) — memengaruhi sekitar 4.924 jiwa penduduk kecamatan ini.,IDN.22.8.19_1,Manado,790,21453.0,94,0,4714,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Salawati,33478,28
Liukang Kalukalukuang Mas,Pangkajene Dan Kepulauan,Sulawesi Selatan,1622.2727272727273,Cukup,0.7368602819349483,6265.71826171875,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 100% kecamatan lain) dan akses jalan sangat minim (lebih sedikit dari 100% kecamatan lain) — memengaruhi sekitar 6.266 jiwa penduduk kecamatan ini.,IDN.26.15.4_1,Makassar,173,25927.0,94,0,5097,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Mappakasunggu,25288,160
Bokondini,Tolikara,Papua,1865.253333333333,Cukup,0.7346826290734649,43643.28125,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 99% kecamatan lain) dan medan pegunungan tinggi (lebih tinggi dari 98% kecamatan lain) — memengaruhi sekitar 43.643 jiwa penduduk kecamatan ini.,IDN.23.26.3_1,Jayapura,255,24331.0,92,0,5340,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Wunin,78152,12
Babar Timur,Maluku Barat Daya,Maluku,1893.89870967742,Cukup,0.7344259020581887,11030.0009765625,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 99% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 73% kecamatan indonesia) — memengaruhi sekitar 11.030 jiwa penduduk kecamatan ini.,IDN.19.5.1_1,Manado,1180,20715.0,91,0,5369,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Selaru,31999,134
Liukang Tangaya,Pangkajene Dan Kepulauan,Sulawesi Selatan,1916.030303030303,Cukup,0.7342275531925099,8036.88720703125,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 100% kecamatan lain) dan akses jalan sangat minim (lebih sedikit dari 98% kecamatan lain) — memengaruhi sekitar 8.037 jiwa penduduk kecamatan ini.,IDN.26.15.5_1,Makassar,259,25927.0,93,0,5391,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Sanggar,27331,133
Kokoda,Sorong Selatan,Papua Barat,1955.5833333333333,Cukup,0.733873069058915,5355.234375,Akses jalan sangat minim (lebih sedikit dari 98% kecamatan lain) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 90% kecamatan lain) — memengaruhi sekitar 5.355 jiwa penduduk kecamatan ini.,IDN.22.7.5_1,Jayapura,927,21453.0,91,0,5431,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Kokoda Utara,48912,19
Haju,Mappi,Papua,1976.2666666666664,Cukup,0.7336876998611482,1973.24365234375,Populasi sangat jarang (lebih sepi dari 93% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 91% kecamatan lain) — memengaruhi sekitar 1.973 jiwa penduduk kecamatan ini.,IDN.23.15.4_1,Jayapura,452,24331.0,92,0,5451,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Minyamur,24306,43
Kimaam,Merauke,Papua,2006.2,Cukup,0.7334194298537435,3827.849365234375,Populasi sangat jarang (lebih sepi dari 89% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 85% kecamatan lain) — memengaruhi sekitar 3.828 jiwa penduduk kecamatan ini.,IDN.23.16.6_1,Jayapura,645,24331.0,92,0,5481,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Waan,27384,79
Tanimbar Utara,Maluku Tenggara Barat,Maluku,2085.347222222222,Cukup,0.7327100926858722,7373.5107421875,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 96% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 81% kecamatan indonesia) — memengaruhi sekitar 7.374 jiwa penduduk kecamatan ini.,IDN.19.7.5_1,Jayapura,1123,20715.0,90,0,5560,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Kormomolin,31566,52
Citakmitak,Mappi,Papua,2133.4761904761904,Cukup,0.7322787488550303,4967.86279296875,Akses jalan sangat minim (lebih sedikit dari 97% kecamatan lain) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 91% kecamatan lain) — memengaruhi sekitar 4.968 jiwa penduduk kecamatan ini.,IDN.23.15.2_1,Jayapura,393,24331.0,91,0,5609,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Obaa,29710,73
