GID_3,kbps_2019,kbps_2020,kbps_2021,kbps_2022,kbps_2023,kbps_2024,kbps_2025,kbps_2026,kecamatan
IDN.12.8.10_1,,,,5183.0,2416.0,2852.0,4832.0,12267.0,Tanah Pinoh Barat
IDN.14.13.4_1,,2183.0,1873.0,1739.0,3188.0,7826.0,4605.0,11351.0,Seruyan Hulu
IDN.14.9.1_1,,,,,,,,4598.0,Batangkawa
IDN.16.2.7_1,,,,,3230.0,1035.0,1795.0,16264.0,Tambelan
IDN.18.6.10_1,,797.0,,14889.0,1314.0,644.0,,,Sula Besi Barat
IDN.18.6.6_1,,1341.0,,400.0,12211.0,7589.0,1923.0,,Mangoli Utara Timur
IDN.18.7.1_1,,,2748.0,1400.0,4422.0,1168.0,2514.0,19024.0,Morotai Jaya
IDN.19.10.5_1,,1832.0,584.0,,4211.0,2350.0,5709.0,2752.0,Wakate
IDN.19.2.2_1,,3297.0,,862.0,4395.0,3566.0,1705.0,6081.0,Kepala Madan
IDN.19.4.2_1,,3394.0,,,3070.0,4178.0,2949.0,,Aru Selatan
IDN.19.5.1_1,,,632.0,,3477.0,393.0,1523.0,3444.0,Babar Timur
IDN.19.5.4_1,,,,,4112.0,119.0,3050.0,,Mdona Hiera
IDN.19.5.6_1,,2441.0,,1230.0,3215.0,664.0,1591.0,11067.0,Pp. Babar
IDN.19.5.7_1,,,2458.0,4662.0,2727.0,2423.0,2588.0,3848.0,Pp. Terselatan
IDN.19.7.5_1,,,,,860.0,780.0,3264.0,3439.0,Tanimbar Utara
IDN.19.7.9_1,,1052.0,,,736.0,,4961.0,6236.0,Yaru
IDN.20.10.17_1,,3732.0,881.0,928.0,1632.0,,4488.0,3093.0,Orong Telu
IDN.20.10.3_1,1762.0,2509.0,1832.0,2284.0,8354.0,3852.0,1768.0,3999.0,Batulanteh
IDN.22.1.1_1,,,,10093.0,2058.0,507.0,6838.0,4127.0,Bomberay
IDN.22.7.5_1,,1587.0,,1902.0,68.0,,4266.0,,Kokoda
IDN.22.7.9_1,,,,5024.0,1058.0,,3159.0,,Saifi
IDN.22.8.19_1,,,,2903.0,,,653.0,161.0,Segun
IDN.23.1.2_1,,3643.0,,2514.0,,,4304.0,2365.0,Akat
IDN.23.1.6_1,,,,,,8259.0,3896.0,4026.0,Sawa Erma
IDN.23.12.9_1,,,,2110.0,1393.0,2150.0,6419.0,,Tiom
IDN.23.15.2_1,,2185.0,,2737.0,397.0,,3197.0,2152.0,Citakmitak
IDN.23.15.3_1,,1026.0,951.0,,1604.0,3870.0,2146.0,6593.0,Edera
IDN.23.15.4_1,,,,1435.0,539.0,1483.0,1687.0,4737.0,Haju
IDN.23.16.12_1,,,,,2490.0,,4399.0,,Ngguti
IDN.23.16.6_1,,,,,3810.0,1537.0,672.0,,Kimaam
IDN.23.17.3_1,,,,,3980.0,,3382.0,,Jita
IDN.23.26.15_1,,,1795.0,874.0,2581.0,3510.0,5834.0,7499.0,Karubaga
IDN.23.26.3_1,,,,2276.0,3425.0,1225.0,1003.0,1398.0,Bokondini
IDN.23.26.4_1,,,,,3736.0,,5279.0,,Bokoneri
IDN.23.27.9_1,,,,,6247.0,,3463.0,,Wapoga
IDN.23.3.16_1,,,,4651.0,,1875.0,3601.0,,Ninati
IDN.23.3.19_1,,,,296.0,,807.0,2642.0,5267.0,Waropko
IDN.23.3.20_1,,4308.0,,,3561.0,2935.0,2964.0,,Yaniruma
IDN.23.3.4_1,,,,5674.0,2014.0,2118.0,,,Firiwage
IDN.23.6.5_1,,,,447.0,214.0,8132.0,8929.0,7368.0,Sugapa
IDN.23.7.6_1,,,,,3599.0,3875.0,5266.0,,Kaureh
IDN.23.8.3_1,,,,2530.0,3762.0,4192.0,4486.0,2153.0,Bolakme
IDN.26.15.4_1,,,,,505.0,300.0,,4062.0,Liukang Kalukalukuang Mas
IDN.26.15.5_1,,,,,644.0,1142.0,,3962.0,Liukang Tangaya
IDN.26.8.7_1,,290.0,6445.0,1172.0,3070.0,,10424.0,6149.0,Pasilambena
IDN.29.7.4_1,,,,,5559.0,2504.0,2787.0,10096.0,Damau
IDN.32.18.16_1,,,,,3058.0,,,5114.0,Susua
IDN.34.5.8_1,,,216.0,,3746.0,2763.0,2631.0,,Long Apari
IDN.35.8.7,,,2424.0,8704.0,1524.0,567.0,10881.0,5747.0,Malinau Selatan
IDN.35.9.2,,345.0,,,5528.0,2378.0,1583.0,1332.0,Krayan
